"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AD01"	"AD02"	"AD03"	"AD04"	"AD05"	"AD08_01"	"AD10"	"AD12"	"AM01_01"	"AM01_02"	"AM01_03"	"AM01_04"	"AM01_05"	"AM01_18"	"AM01_06"	"AM01_07"	"AM01_08"	"AM01_09"	"AM01_17"	"AM01_14"	"AM01_10"	"AM01_11"	"AM01_12"	"AM01_13"	"AM01_15"	"AM01_16"	"AM02_01"	"AM02_02"	"AM02_03"	"AM02_04"	"AM02_05"	"AM02_06"	"AM02_07"	"AM02_08"	"AM02_09"	"AM02_10"	"AM02_11"	"AM02_12"	"AM02_13"	"AM02_14"	"AM02_15"	"AM02_16"	"AM04_01"	"AM04_02"	"AM04_03"	"AM04_04"	"AM04_05"	"AM04_06"	"AM04_07"	"AM04_08"	"AM04_09"	"AM04_10"	"AM04_11"	"AM04_12"	"AM04_13"	"AM04_14"	"AM04_15"	"AM04_16"	"AM04_17"	"AM04_18"	"AM05_01"	"AM05_02"	"AM05_03"	"AM05_04"	"AM05_05"	"AM05_06"	"AM05_07"	"AM05_08"	"AM05_09"	"AM05_10"	"AM05_11"	"AM05_12"	"AM05_13"	"AM05_14"	"AM05_15"	"AM05_16"	"AM05_17"	"AM05_18"	"M113_01"	"M106_01"	"M105_01"	"M107_01"	"M114_01"	"M115_01"	"M117_01"	"M213_01"	"M206_01"	"M205_01"	"M207_01"	"M214_01"	"M215_01"	"M217_01"	"M313_01"	"M306_01"	"M305_01"	"M307_01"	"M314_01"	"M315_01"	"M317_01"	"M413_01"	"M406_01"	"M405_01"	"M407_01"	"M414_01"	"M415_01"	"M417_01"	"M513_01"	"M506_01"	"M505_01"	"M507_01"	"M514_01"	"M515_01"	"M517_01"	"M613_01"	"M606_01"	"M605_01"	"M607_01"	"M615_01"	"M617_01"	"M618"	"M713_01"	"M706_01"	"M705_01"	"M707_01"	"M714_01"	"M715_01"	"M717_01"	"M813_01"	"M806_01"	"M805_01"	"M807_01"	"M814_01"	"M815_01"	"M817_01"	"M913_01"	"M906_01"	"M905_01"	"M907_01"	"M914_01"	"M915_01"	"M917_01"	"N113_01"	"N106_01"	"N105_01"	"N107_01"	"N114_01"	"N115_01"	"N117_01"	"N213_01"	"N206_01"	"N205_01"	"N207_01"	"N214_01"	"N217_01"	"N218"	"N313_01"	"N306_01"	"N305_01"	"N307_01"	"N314_01"	"N315_01"	"N318_01"	"N317_01"	"N413_01"	"N406_01"	"N405_01"	"N407_01"	"N414_01"	"N415_01"	"N417_01"	"N513_01"	"N506_01"	"N505_01"	"N507_01"	"N514_01"	"N515_01"	"N517_01"	"N613_01"	"N606_01"	"N605_01"	"N607_01"	"N614_01"	"N615_01"	"N617_01"	"N901_01"	"N902_01"	"N903_01"	"N904_01"	"N905_01"	"N906_01"	"N713_01"	"N706_01"	"N705_01"	"N707_01"	"N714_01"	"N715_01"	"N717_01"	"N813_01"	"N806_01"	"N805_01"	"N807_01"	"N814_01"	"N815_01"	"N817_01"	"K101_01"	"K102_01"	"K103_01"	"K105"	"K201_01"	"K202_01"	"K203_01"	"K205"	"K301_01"	"K302_01"	"K303_01"	"K305"	"K401_01"	"K402_01"	"K403_01"	"K405"	"K501_01"	"K502_01"	"K503_01"	"K505"	"K601_01"	"K603_01"	"K605"	"K701_01"	"K702_01"	"K703_01"	"K705"	"K801_01"	"K802_01"	"K803_01"	"K805"	"K901_01"	"K902_01"	"K903_01"	"K905"	"L101_01"	"L102_01"	"L103_01"	"L105"	"L201_01"	"L205"	"L301_01"	"L307_01"	"L302_01"	"L303_01"	"L305"	"L401_01"	"L402_01"	"L403_01"	"L405"	"L501_01"	"L502_01"	"L503_01"	"L505"	"L601_01"	"L602_01"	"L603_01"	"L605"	"L701_01"	"L703_01"	"L705"	"L801_01"	"L802_01"	"L803_01"	"L805"	"L901_01"	"L902_01"	"L903_01"	"L905"	"PD01_01"	"PD02"	"PD03"	"PD04"	"PD05_01"	"PD05_02"	"PD07"	"PD08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"DEG_MISS"	"DEG_TIME"	"DEGRADE"
158			"empinf"	"interview"	2014-06-14 13:25:07	2	2	2	1	1	5	1	2	F	T	F	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F																																				"18"						"12"						"8"												18	4	7	2	7	10																																					12	6	7	2	10	10																																						8	3	7	1	9	10																																	14	40	4	2																				8	70	4	2																				6	25	2	2																19	2	1	1	T	F	6	1	37	66	162	56		32					24				131									26					29				63								534		2014-06-14 13:35:33	T	33	33	41	32	97	15	113
159			"empinf"	"interview"	2014-06-14 13:29:19	2	2	1	5	1	4	1	1	T	T	T	T	T	T	T	F	F	T	T	T	T	T	F	T	T	T	1	1	2	1	1	1	3	3	1	2	2	3	1	1	1	1	2	2	2	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	"7"	"8"	"9"	"8"	"10"		"7"			"9"	"3"	"4"	"6"	"8"		"3"	"4"	"5"																																																																																																																																																																																																												5	45	211																																						261		2014-06-14 13:33:40	F	3	3	5	3	10	99	109
160			"empinf"	"interview"	2014-06-14 13:39:45	2	2	1	5	1	6	1	1	T	T	T	F	F	F	T	T	F	T	F	F	F	T	T	F	F	F	1	1	1	3	3	1	3	3	1	3	1	1	3	3	3	3	2	2	2	1	1	2	4	1	2	1	2	2	1	3	1	3	1	1	"10"	"8"	"8"				"12"	"14"		"8"		"10"		"10"	"8"			"8"	10	5	3	1	4	9		8	3	7	5	5	9		8	3	5	5	3	7																							12	5	4	3	8	10		14	6	4	2	9	4	4								8	4	6	2	6	9																								10	2	7	4	8	9		8	2	7	5	10	10																						6	2	4	2	4	1	4	2	4	1	4	2												8	8	4	2	9	10	5	2					5	2	2	2												4	1	2	2	5	0	2	2												21	1	1	1	T	F	1	2	31	79	322	121	48	50	61			59	52		70		39	55							50	34	20			42	32		19		18	36							1238		2014-06-14 14:00:24	T	34	34	5	2	7	3	10
161			"empinf"	"interview"	2014-06-14 13:43:14	2	2	1	10	1	5	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2																																																																																																																																																																																																																														8	34	83																																						125		2014-06-14 13:45:19	F	3	3	23	17	50	104	154
165			"empinf"	"interview"	2014-06-14 14:05:33	2	1	1	10	1	4	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	2	2	1	2	2	2	1	2	1	1	1	1	1	1	3	2	3	2	3	2	3	4	3	4	2	4	2	3	2	2	2	2	"10"	"10"	"10"	"8"	"8"	"4"	"10"	"10"	"12"	"9"	"4"	"8"	"8"	"8"	"8"	"2"	"4"	"6"	10	4	3	2	8	9	3	10	4	4	2	9	9	5	10	5	2	2	7	8	7	8	5	2	1	10	4		8	4	2	1	2	1	5	4	4	3	2	3		1	10	4	4	3	10	9		10	6	3	5	7	10	9	10	5	3	4	7	8	4	8	3	2	1	2	8	5	4	2	5	3	9		2	8	4	2	1	1	5	5	3	8	5	5	3	3	5	4	8	3	4	4	9	10		8	3	5	2	3	10	4	2	4	4	3	2		4	2	4	2	9	10		6	3	4	1	8	10		4	2	4	2	4	2	4	2	4	2	4	2	3	1	3	2	1	3	2	2	2	2	2	4	2	4	2	4	2	4	2	5	2	3	2	2	1	3	2	80	2	2	30	1	4	2	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	3	1	3	2	4	2	3	2	27	1	1	1	T	F	2	1	5	50	402	66	35	38	33	47	51	59	43	74	64	79	41	52	110	83	38	45	76	56	10	12	22	15	17	9	10	24	21	11	11	14	92	46	20	150	28	64	1980		2014-06-14 14:40:57	T	40	40	0	0	0	28	28
166			"empinf"	"interview"	2014-06-14 14:26:44	2	2	1	2	1	6	1	1																																																																																																																																																																																																																																																																																		39	61																																							100		2014-06-14 14:28:24	F	2	2	0	0	0	5	5
167			"empinf"	"interview"	2014-06-14 14:38:19	2	1	1	7	1	3	1	1																																																																																																																																																																																																																																																																																		4	72																																							76		2014-06-14 14:39:35	F	2	2	0	0	0	163	163
168			"empinf"	"interview"	2014-06-14 14:48:43	2	2	1	1	1	2	1	1																																																																																																																																																																																																																																																																																		16	36																																							52		2014-06-14 14:49:35	F	2	2	0	0	0	47	47
170			"empinf"	"interview"	2014-06-14 15:20:39	1	1	1	6	1	6	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	"3"	"3"	"4"	"3"	"3"	"5"	"6"	"6"	"6"	"5"	"2"	"2"	"3"	"3"	"3"	"2"	"1"	"2"	30	2	3	1	10	10		30	2	5	6	10	10		40	5	7	5	10	10																																																																																																																																																																																								6	63	393	2642	59	43																																			669		2014-06-14 16:14:05	F	6	6	0	0	0	36	36
173			"empinf"	"interview"	2014-06-14 15:52:09	2	2	1	6	1	6	1	1																																																																																																																																																																																																																																																																																		88	110																																							198		2014-06-14 15:55:27	F	2	2	0	0	0	0	0
175			"empinf"	"interview"	2014-06-14 16:28:45	2	2	1	10	1	4	1	1																																																																																																																																																																																																																																																																																		977	544																																							102		2014-06-14 16:54:06	F	2	2	0	0	0	0	0
176			"empinf"	"interview"	2014-06-14 17:20:14	2	2	1	4	1	6	1	1	T	T	T	F	F	F	T	T	T	T	T	F	T	T	T	F	T	F	1	1	1			1	1	1	1	1	1	1			1		2	2	2			2	2	2	2	2	2	2			2				"10"	"10"	"10"				"8"	"8"	"8"	"12"	"8"		"8"	"8"	"8"		"8"		12	3	6	1	9	10		12	4	7	2	9	10		12	5	5	1	10	10																							10	4	6	3	10	10		10	4	5	3	10	10		10	5	7	2	10	10		12	6	5	1	10	10		8	4	1	1	10		3									8	3	6	2	9	10		8	4	7	1	10	10		8	4	6	1	8	10								10	2	5	1	10	10									6	30	6	2	6	30	6	2	6	40	8	2												8	40	8	2	8	40	8	2	8	40	8	2	10	50	10	2	70	2						6	30	6	2	8	30	8	2	6	30	6	2				10	10	10	2					20	1	1	1	T	F	2	1	36	128	325	136	42	59	82			19	23	65	24	22	17	25			23		53		19	41	13			7	7	11	14	11	15	21			46		25		1309		2014-06-14 17:42:04	T	39	39	8	5	14	34	48
177			"empinf"	"interview"	2014-06-14 17:20:18	2	2	1	6	1	6	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	"0"	"0"	"10"	"10"	"8"	"0"	"0"	"0"	"10"	"0"	"10"	"10"	"0"	"0"	"10"	"10"	"0"	"10"																																																																																																																																																																																																												36	59	232	1308154																																					432		2014-06-29 20:48:19	F	4	4	0	0	0	5	5
178			"empinf"	"interview"	2014-06-14 17:42:14	2	2	2	5	1	4	1	2																																																																																																																																																																																																																																																																																		5	52																																							57		2014-06-14 17:43:11	F	2	2	0	0	0	135	135
179			"empinf"	"interview"	2014-06-14 17:51:35	2	2	1	10	1	4	1	1	T	T	T	T	T	F	T	T	T	T	F	T	T	T	T	T	T	T	1	1	1	1	1	2	1	2	1	3	1	1	1	3	1	3	2	2	4	4	2	4	2	2	4	1	2	3	2	1	3	1	1	1	"25"	"20"	"25"	"25"	"20"		"25"	"25"	"25"	"25"		"20"	"20"	"20"	"20"	"10"	"20"	"20"	500	5	5	6	7	7		400	5	6	5																																																																																																																																																																																																	269	179	1001	237	85																																				703		2014-06-14 18:21:06	F	4	5	5	5	15	0	15
181			"empinf"	"interview"	2014-06-14 18:19:34	2	1	1	9	1	5	1	2																																																																																																																																																																																																																																																																																		30	74																																							104		2014-06-14 18:21:18	F	2	2	0	0	0	0	0
182			"empinf"	"interview"	2014-06-14 18:51:28	2	2	2	2	1	6	1	1																																																																																																																																																																																																																																																																																		17	41																																							58		2014-06-14 18:52:26	F	2	2	0	0	0	38	38
183			"empinf"	"interview"	2014-06-14 19:04:03	2	2	1	4	1	5	1	2	T	T	T	T	F	F	T	T	T	T	F	T	T	T	T	F	T	T	3	1	3			3	3	3	3	2	3	1			1		1	2	1			1	1	1	1	2	1	2			2																						40	5	4	1	9	10	5	40	4	6	2	10	10		40	4	5	3	10	10	5	40	5	4	1	9	9	5															40	6	2	1	10	10	5	40	5	2	2	10	7	5	40	5	2	2	10	9	5	40	4	4	1	10	10	5								40	5	5	2	8	10	10	5	32	3	4	4	5	10		32	4	6	2	10	10	6	34	5	6	2	10	10								40	3	5	1	10	10		40	3	5	4	9	10	5	28	56	12	2	20	56	20	2	26	56	14	2	20	56	20	1								20	56	20	2	28	56	12	2	28	56	12	2	24	56	12	2			20	40	56	20	1	20	56	8	2	22	58	10	2	22	60	10	2				20	58	20	2	20	56	20	1	20	2	1	1	F	T	2	1	9	79	875	214	33	47	42	35		29	33	20	123	23	53	54		23			40	252	91	134	56	10		49	17	19	31	60	20	37		55			13	27	1613		2014-06-14 19:47:27	T	40	40	12	7	22	16	38
185			"empinf"	"interview"	2014-06-14 19:37:16	2	1	1	5	1	5	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	10	4	3	3	10	10		10	4	6	5	8	10		12	4	5	5	9	5		20	6	7	5	10	5																																																																																																																																																																																	7	51	123	38	38	24	40																																		321		2014-06-14 19:42:37	F	7	7	0	0	0	58	58
186			"empinf"	"interview"	2014-06-14 19:39:38	2	2	1	6	1	5	1	1																																																																																																																																																																																																																																																																																		20	58																																							78		2014-06-14 19:40:56	F	2	2	0	0	0	19	19
187			"empinf"	"interview"	2014-06-14 21:05:19	2	2	1	6	1	3	1	1																																																																																																																																																																																																																																																																																		30	61																																							91		2014-06-14 21:06:50	F	2	2	0	0	0	5	5
189			"empinf"	"interview"	2014-06-14 21:49:40	2	2	2	10	1	5	1	2																																																																																																																																																																																																																																																																																		23	41																																							64		2014-06-14 21:50:44	F	2	2	0	0	0	27	27
190			"empinf"	"interview"	2014-06-14 21:54:30	2	1	1	8	1	6	1	1																																																																																																																																																																																																																																																																																		29	96																																							125		2014-06-14 21:56:35	F	2	2	0	0	0	1	1
191			"empinf"	"interview"	2014-06-14 21:59:50	2	2	1	6	1	6	1	1																																																																																																																																																																																																																																																																																		54	69	789125																																						402		2014-06-24 01:13:58	F	3	3	0	0	0	1	1
197			"empinf"	"interview"	2014-06-15 04:38:13	2	2	2	5	1	6	1	1																																																																																																																																																																																																																																																																																		3	53																																							56		2014-06-15 04:39:09	F	2	2	0	0	0	234	234
201			"empinf"	"interview"	2014-06-15 12:20:14	2	1	1	1	1	6	1	2	T	F	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	1					3				1							2					1				2									"4 Stunden"						"8-9 Stunden"						"6 Stunden"						52	2	4	1	1	10																																					91	6	2	1	4	10	1																																					65	3	6	1	1	10																																				5	2	0	2																				6	45	2	2																				5	4	0	2																				18	1	1	1	T	T	4	1	5	127	162	270	82					43				126									70					36				71									953		2014-06-15 12:36:46	T	32	32	36	26	79	29	108
203			"empinf"	"interview"	2014-06-15 15:13:41	2	2	1	4	1	4	1	2	T	T	T	F	F	F	F	F	F	T	T	F	T	T	T	F	T	F	1	1	1			1	1	1	1	1	2	1			1		2	2	2						2	2	2	2			2		2		"12"	"18"	"15"							"16"	"5"		"12"	"16"	"15"		"20"																																																																																																																																																																																																													157	98	421																																						676		2014-06-15 15:24:57	F	3	3	29	21	63	0	63
204			"empinf"	"interview"	2014-06-15 16:16:55	2	2	1	8	1	3	1	1	T	T	T	F	F	T	T	F	F	T	T	T	F	T	T	F	T	T	3					3					1	3			1	1	1	3	3			1			4		2	4		4	2	2	2	2	"5"					"20"	"10"			"10"	"7"	"10"		"5"	"5"		"5"	"5"	10	6	7	4	8	8	6	10	6	7	4	8	8	6	10	6	7	4	8	8	6															15	6	7	2	8		2	15	6	7	2	8	8	6															15	6	5	1	8	8	6	15	4	7	1	9		2	15	6	7	7	8	10	9	6								10	5	7	4	8	8		10	5	7	3	8	8	6							5	4	7	1	10	10		5	4	7	2	10	10		10	40	8	2	10	40	8	2	10	40	8	2									10	30	2	10	40	8	2									10	40	8	2	40	2	5	40	40	8	2					8	40	4	2	8	40	4	2				5	40	8	2	5	40	8	2	27	1	1	1	T	F	3	2	80	127	639	110	34	16	27			34			24		38	56		51	27	27	19	53	25	19	18			13			27		15	32		12	21	21	9	40	1614		2014-06-15 16:43:51	T	40	40	11	8	23	25	48
206			"empinf"	"interview"	2014-06-15 19:45:31	2	2	1	11	1	5	1	2	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	2	2	2	2	3	2	1	2	2	1	1	2	1	1	1	2	4	4	2	4	1	2	2	2	3	2	2	4	2	2	2	4	2	2	"10"	"14"	"10"	"8"	"8"	"14"	"16"	"16"	"16"	"13"	"4"	"7"	"6"	"6"	"6"	"5"	"20"	"7"																																																																																																																																																																																																												17	107	400																																						524		2014-06-15 19:54:15	F	3	3	0	0	0	13	13
207			"empinf"	"interview"	2014-06-15 19:55:25	2	2	1	9	1	5	1	2	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	2	2	2	2	3	2	1	2	2	1	2	2	1	1	1	1	4	4	2	4	1	2	2	2	3	2	2	4	2	2	2	4	2	2	"10"	"14"	"10"	"10"	"8"	"14"	"16"	"16"	"16"	"12"	"4"	"7"	"7"	"6"	"9"	"6"	"20"	"8"	12	5	1	1	10	5	9	14	6	2	2	10	3	7	10	3	2	3	10	6		10	6	4	4	5	4	7	8	6	1	3	10	4	6	14	4	6	5	1		2	14	6	5	4	10	9		16	6	3	4	9	6		16	6	4	4	9	5		12	4	5	4	9	7		4	2	6	5	9		4	6	3	5	4	5	7			8	4	1	3	8	3		5	4	2	3	7	4		7	5	2	3	3	2	6	6	4	3	2	3		20	1	5	4	7	5		8	4	4	2	7	4	5	6	20	4	2	19	18	4	2	5	20	4	2	7	30	2	2	5	30	2	1	6	7	1	8	36	4	2	10	36	4	2	10	30	4	2	9	18	4	2	24	2	6	0	10	2	2	4	15	2	2	4	16	2	2	6	30	2	1	5	1	2	10	8	10	2	4	14	4	2	29	2	1	1	F	T	3	4	5	59	311	85	43	46	47	33	47	37	35	34	110	43	53	50	53	66	90	42	51	75	46	35	49	33	28	38	53	29	44	25	34	45	48	33	38	31	28	67	2119		2014-06-15 20:30:47	T	40	40	0	0	0	8	8
208			"empinf"	"interview"	2014-06-15 20:39:21	2	2	2	8	1	6	1	2	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	3	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	4	2	4	4	3	2	2	2	2	2	3	2	2	2	2				"20"			"20"	"20"	"20"										5	3	3	1	9	8		5	4	4	3	9	9		5	4	4	4	9	9		20	6	2	4	9	9	5	10	4	5	3	10	10		3	3	3	3	10		1	25	6	3	3	10	10	4	25	6	3	3	10	10	4	25	6	4	3	10	10	4	6	4	1	1	9	9		2	3	2	5	10		3	10	4	1	4	10	10	6	4	10	5	5	3	9	9		5	4	6	3	9	9		6	4	6	3	9	9		4	3	1	1	10		5	3	6	2	10	10		5	3	6	3	10	10																																																																															25	56	160	65	22	13	30	18	33	16	16	19	21	13	16	22	27	29	22	13	14																				650		2014-06-15 20:50:11	F	21	21	7	4	13	60	72
209			"empinf"	"interview"	2014-06-15 21:16:40	2	X-9	X-9	X-9	X-9		X-9	X-9																																																																																																																																																																																																																																																																																		330	16																																							46		2014-06-15 21:22:26	F	2	2	88	87	265	88	352
212			"empinf"	"interview"	2014-06-15 23:46:33	2	2	1	2	1	5	1	1	T	F	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	1					1				1					1		2					2				2					2				"19"						"17"						"12"				"7"		19	3	6	5	9	8																																					17	5	7	3	10	9																																						12	6	6	2	10	7																																				13	42	6	2																				13	44	7	2																				8	35	4	2																				19	1	1	1	T	F	4	2	75	61	505	157	48					59				176									52					32				37									1069		2014-06-16 00:06:35	T	32	32	34	24	73	1	74
214			"empinf"	"interview"	2014-06-16 06:35:55	2	2	1	4	1	5	X-9	2																																																																																																																																																																																																																																																																																		36	30																																							66		2014-06-16 06:37:01	F	2	2	13	12	37	35	72
216			"empinf"	"interview"	2014-06-16 09:14:35	2	2	2	15	1	5	1	2	T	T	F	F	F	F	F	F	F	F	T	F	T	T	F	F	T	F	2	2	3			3			3	2	2				1		2	4	1			1			1	2	4				2		2		"10"	"30"	"35"				"50"			"50"		"25"	"4"	"15"			"8"		30	6	1	1	10	10	9	35	6	3	1	10	10	9																																																									8	3	1	1	8	9	1									8	4	2	5	9	10	9	35	6	6	1	10	10	9														12	5	1	1	10	10	8								20	70	4	2	35	80	4	2																																20	2						6	0	4	2	35	45	4	2								40	80	10	2					30	1	1	2	T	F	3	1	56	77	219	86	45	38								37	36				29		43		37	18								22	17				41		33		834		2014-06-16 09:28:29	T	39	39	17	11	33	12	45
221			"empinf"	"interview"	2014-06-16 12:00:49	2	2	2	X-9	1	4	1	2																																																																																																																																																																																																																																																																																		3	63																																							66		2014-06-16 12:01:55	F	2	2	13	12	37	229	266
222			"empinf"	"interview"	2014-06-16 12:12:24	X-9	X-9	X-9	X-9	X-9		X-9	X-9																																																																																																																																																																																																																																																																																		7	27																																							34		2014-06-16 12:12:58	F	2	2	100	100	303	124	427
223			"empinf"	"interview"	2014-06-16 12:50:43	2	2	1	4	1	6	1	2	T	T	T	F	F	F	T	T	T	T	F	F	T	T	F	F	T	F	1	1	2			1	2	2		2	2				1		3	3	2			3	2	2		3	3				2				"10"	"10"	"10"				"12"	"15"	"15"				"2"	"10"			"10"		150	5	4	1	9	8	3	150	6	5	1	9	8		100	4	5	2	8	7																																																																																																																																																																																								15	54	176	54	37	23																																			359		2014-06-16 12:56:42	F	6	6	25	17	51	36	87
227			"empinf"	"interview"	2014-06-16 14:16:05	2	2	1	4	1	6	1	1																																																																																																																																																																																																																																																																																		8	62																																							70		2014-06-16 14:17:15	F	2	2	0	0	0	73	73
228			"empinf"	"interview"	2014-06-16 14:52:56	2	2	1	4	1	4	1	1	T	T	T	F	F	F	T	T	T	T	F	F	T	T	T	F	T	F	1	1	1			2	3	3	1	1	2	1			1		2	2	2			3	1	1	2	2	3	2			2																																																																																																																																																																																																																																	291	86	477332																																						395		2014-06-22 03:34:46	F	2	3	38	28	83	0	83
