"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AD01"	"AD02"	"AD03"	"AD04"	"AD05"	"AD08_01"	"AD10"	"AD12"	"AM01_01"	"AM01_02"	"AM01_03"	"AM01_04"	"AM01_05"	"AM01_18"	"AM01_06"	"AM01_07"	"AM01_08"	"AM01_09"	"AM01_17"	"AM01_14"	"AM01_10"	"AM01_11"	"AM01_12"	"AM01_13"	"AM01_15"	"AM01_16"	"AM02_01"	"AM02_02"	"AM02_03"	"AM02_04"	"AM02_05"	"AM02_06"	"AM02_07"	"AM02_08"	"AM02_09"	"AM02_10"	"AM02_11"	"AM02_12"	"AM02_13"	"AM02_14"	"AM02_15"	"AM02_16"	"AM04_01"	"AM04_02"	"AM04_03"	"AM04_04"	"AM04_05"	"AM04_06"	"AM04_07"	"AM04_08"	"AM04_09"	"AM04_10"	"AM04_11"	"AM04_12"	"AM04_13"	"AM04_14"	"AM04_15"	"AM04_16"	"AM04_17"	"AM04_18"	"AM05_01"	"AM05_02"	"AM05_03"	"AM05_04"	"AM05_05"	"AM05_06"	"AM05_07"	"AM05_08"	"AM05_09"	"AM05_10"	"AM05_11"	"AM05_12"	"AM05_13"	"AM05_14"	"AM05_15"	"AM05_16"	"AM05_17"	"AM05_18"	"M113_01"	"M106_01"	"M105_01"	"M107_01"	"M114_01"	"M115_01"	"M117_01"	"M213_01"	"M206_01"	"M205_01"	"M207_01"	"M214_01"	"M215_01"	"M217_01"	"M313_01"	"M306_01"	"M305_01"	"M307_01"	"M314_01"	"M315_01"	"M317_01"	"M413_01"	"M406_01"	"M405_01"	"M407_01"	"M414_01"	"M415_01"	"M417_01"	"M513_01"	"M506_01"	"M505_01"	"M507_01"	"M514_01"	"M515_01"	"M517_01"	"M613_01"	"M606_01"	"M605_01"	"M607_01"	"M615_01"	"M617_01"	"M618"	"M713_01"	"M706_01"	"M705_01"	"M707_01"	"M714_01"	"M715_01"	"M717_01"	"M813_01"	"M806_01"	"M805_01"	"M807_01"	"M814_01"	"M815_01"	"M817_01"	"M913_01"	"M906_01"	"M905_01"	"M907_01"	"M914_01"	"M915_01"	"M917_01"	"N113_01"	"N106_01"	"N105_01"	"N107_01"	"N114_01"	"N115_01"	"N117_01"	"N213_01"	"N206_01"	"N205_01"	"N207_01"	"N214_01"	"N217_01"	"N218"	"N313_01"	"N306_01"	"N305_01"	"N307_01"	"N314_01"	"N315_01"	"N318_01"	"N317_01"	"N413_01"	"N406_01"	"N405_01"	"N407_01"	"N414_01"	"N415_01"	"N417_01"	"N513_01"	"N506_01"	"N505_01"	"N507_01"	"N514_01"	"N515_01"	"N517_01"	"N613_01"	"N606_01"	"N605_01"	"N607_01"	"N614_01"	"N615_01"	"N617_01"	"N901_01"	"N902_01"	"N903_01"	"N904_01"	"N905_01"	"N906_01"	"N713_01"	"N706_01"	"N705_01"	"N707_01"	"N714_01"	"N715_01"	"N717_01"	"N813_01"	"N806_01"	"N805_01"	"N807_01"	"N814_01"	"N815_01"	"N817_01"	"K101_01"	"K102_01"	"K103_01"	"K105"	"K201_01"	"K202_01"	"K203_01"	"K205"	"K301_01"	"K302_01"	"K303_01"	"K305"	"K401_01"	"K402_01"	"K403_01"	"K405"	"K501_01"	"K502_01"	"K503_01"	"K505"	"K601_01"	"K603_01"	"K605"	"K701_01"	"K702_01"	"K703_01"	"K705"	"K801_01"	"K802_01"	"K803_01"	"K805"	"K901_01"	"K902_01"	"K903_01"	"K905"	"L101_01"	"L102_01"	"L103_01"	"L105"	"L201_01"	"L205"	"L301_01"	"L307_01"	"L302_01"	"L303_01"	"L305"	"L401_01"	"L402_01"	"L403_01"	"L405"	"L501_01"	"L502_01"	"L503_01"	"L505"	"L601_01"	"L602_01"	"L603_01"	"L605"	"L701_01"	"L703_01"	"L705"	"L801_01"	"L802_01"	"L803_01"	"L805"	"L901_01"	"L902_01"	"L903_01"	"L905"	"PD01_01"	"PD02"	"PD03"	"PD04"	"PD05_01"	"PD05_02"	"PD07"	"PD08"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"DEG_MISS"	"DEG_TIME"	"DEGRADE"
229			"empinf"	"interview"	2014-06-16 16:07:54	2	2	1	12	1	2	1	2	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2																			13	4	4	1	10	10		8	1	1	7	7	10		10	2	3	4	9	10		16	6	7	3	10	10		9	3	6	4	10	10		25	4	7	1	6		1	11	2	4	7	10	10		14	5	1	4	10	10		10	4	5	6	10	10		12	4	7	2	10	10		5	4	7	1	10		1	10	2	1	1	1	10	11		10	3	2	5	10	10		12	2	1	2	10	10		11	4	3	2	10	10		5	4	5	1	10		8	2	1	4	10	10		9	3	4	1	8	10					X-9																																																																										63	72	121	83	43	24	23	20	42	24	19	15	22	20	15	33	33	37	50	66	29	13																			867		2014-06-16 16:22:21	F	21	22	11	7	22	41	63
241			"empinf"	"interview"	2014-06-18 09:04:24	2	2	1	5	1	6	1	1	T	T	T	T	T	T	T	T	T	T	T	F	T	T	T	T	T	T	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	2	2	2	2	2	2	2	2	2	2	2	2	2		2	2	2	2																			7	4	6	2	10	10																																																																																																																																																																																																						71	100	199	134	6																																				510		2014-06-18 09:12:54	F	5	5	29	24	73	77	150
243			"empinf"	"interview"	2014-06-18 11:15:46	2	2	1	3	1	6	1	1	T	T	T	F	F	F	T	F	F	T	F	F	T	T	T	T	T	F	1	1	1	1		1			1	1	1	1	1				2	2	2			2			2	2	2	2	2		2				"2"	"0"	"4"				"2"			"2"			"2"	"2"	"4"	"0"	"0"		12	3	7	3	10	10		10	3	6	5	10	9		20	2	3	4	10	9																							14	5	6	6	10	10																14	4	7	3	10	10																	10	3	4	4	10	10		10	3	4	5	10	8		12	2	3	2	10	10		8	3	3	1	4		10	1	3	5	10	9									5	10	5	2	8	8	8	2	8	10	4	2												7	6	5	2									8	8	4	2								8	5	3	2	6	5	2	2	5	5	2	2	5	3	2	7	4	3	2					20	2	1	1	T	F	2	1	37	47	257	130	81	60	52			31			46	52	58	55	53				77		29	28	32			16			34	29	39	27	28				51		1349		2014-06-18 11:38:17	T	39	39	11	7	21	6	27
244			"empinf"	"interview"	2014-06-18 13:06:07	2	2	1	8	1	6	1	1	T	T	T	T	T	T	T	F	T	T	T	T	T	T	T	T	T	T	2	1	1	1	1	2	3	2	2	1	1	1	1	1	1	1	2	3	2	2	2	4	4	2	3	2	3	2	2	2	2	2	2	3	"15"	"18"	"12"	"20"	"19"	"17"	"15"	"18"	"14"	"13"	"8"	"12"	"10"	"15"	"17"	"6"	"11"	"13"	15	5	6	2	10	10	6	14	6	7	2	10	10		9	5	6	3	10	8		16	3	6	3	10	10		16	5	7	4	10	9		15	5	6	3	10		1	15	4	2	2	10	9	8								14	5	2	2	10	10	6	13	4	5	4	10	10	3	8	2	7	4	10		1	13	4	6	3	10	10	11		16	3	2	3	10	10		13	5	3	1	9	6	4	11	4	3	1	9	8		6	3	6	3	10		12	4	3	5	10	10		10	5	5	3	10	10		8	8	7	2	8	6	8	2	7	10	6	2	16	13	6	2	14	10	5	2	4	12	2	9	18	7	2					9	8	6	2	8	10	5	2	40	2	8	15	22	5	2	7	9	3	2	10	15	3	2	6	20	3	2	3	2	2	6	10	4	2	6	14	5	2	23	1	1	1	T	F	4	2	3	60	401	100	37	52	26	19	34	27		27	19	26	20	39	30	26	26	20	18	82	20	21	19	21	36	20		21	17	34	18	16	31	15	18	17	18	28	1462		2014-06-18 13:30:30	T	40	40	0	0	0	37	37
245			"empinf"	"interview"	2014-06-18 15:26:44	2	2	1	3	1	6	1	2	T	T	F	F	F	F	T	T	F	F	F	F	T	T	F	F	F	F	1	2				3	3		3	2	1						2	2				1	1		1	2	2								"12"	"14"					"8"	"8"		"10"			"12"	"10"					12	3	6	5	6	8		14	3	6	3	7	9																														8	5	2	2	6	5		8	5	2	2	5	5	6																														10	5	4	2	6	5	7	10	4	7	2	9	9																													6	18	5	2	7	20	5	2																4	10	4	2	4	10	4	2																6	20	2	2	5	12	2	2																23	1	1	1	T	F	2	1	3	90	293	78	50	45				57	40			38	70								21	16				18	30			16	72								889		2014-06-18 15:42:21	T	33	33	20	13	40	41	81
246			"empinf"	"interview"	2014-06-18 19:58:40	2	2	1	2	1	6	1	1	T	T	F	F	F	F	T	T	F	F	F	F	T	T	F	F	F	F	1					1				1							2					2				2									"3"						"7"						"4"						20	3	7	6	10	10																																																																																																																																																																																																						74	110	190	110	75954																																				534		2014-06-19 17:12:38	F	5	5	54	45	135	5	140
247			"empinf"	"interview"	2014-06-18 21:02:18	2	1	1	12	2	3	1	2	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	2	2	2	2	1	2	2	1	2	1	1	1	1	2	1	1	2	3	3	3	2	3	2	2	3	2	2	2	2	3	2	2	2	2	"12"	"12"	"12"	"10"	"10"	"40"	"12"	"12"	"12"	"10"	"4"	"11"	"7"	"12"	"12"	"8"	"6"	"6"	12	4	3	2	9	5		12	4	4	3	7	5	5	12	4	6	3	8	6	4																																																																																																																																																																																							139348	117	483	144	52	67	6																																		899		2014-06-20 11:59:16	F	4	7	7	8	23	40	63
249			"empinf"	"interview"	2014-06-19 14:42:27	2	1	1	7	1	6	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	10	3	4	6	10	10		10	3	3	6	10	10		6	4	5	6	10	10		10	5	6	3	10	10		4	1	1	2	5	10		4	1	1	6	4		3	6	2	6	6	10	10		6	4	6	6	10	10		8	4	6	6	10	10		6	1	6	3	10	10		6	5	1	1	10		3	1	1	1	2	1	10	4		2	1	1	1	1	10		4	1	3	3	10	10		4	4	6	5	10	10		4	1	7	5	10																																																																																													158	99	318	95	41	66	37	43	73	49	28	41	25	90	21	55	89	74	68																						1470		2014-06-19 15:06:57	F	19	19	0	0	0	6	6
250			"empinf"	"interview"	2014-06-19 14:44:03	2	2	1	3	1	3	1	1	T	T	T	F	F	F	T	T	T	F	T	F	T	T	T	F	F	F	1	1	1			2	1	1		1	1	1					2	2	2			2	2	2		2	2	2					2		"14"	"14"	"14"				"14"	"14"	"14"		"14"		"14"	"14"	"14"				8	4	7	5	1	10		9	4	7	4	1	10		11	4	6	4	3	10																							13	6	2	3	3	9		114	6	2	3	4	9		16	5	5	3	5	10									3	1	1	1	10		1									5	3	7	3	1	10		5	4	6	3	7	10		4	3	6	4	1	9																						6	1	0	2				X-9																																																																						33	116	310	179	44	70	81			49	21	42		31	86	51			93				103																		1309		2014-06-19 15:05:54	F	23	23	17	12	36	5	41
252			"empinf"	"interview"	2014-06-19 23:05:39	2	2	1	6	1	5	1	1	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	"20"	"18"	"15"	"16"	"16"	"12"	"18"	"16"	"16"	"12"	"3"	"14"	"15"	"8"	"12"	"5"	"2"	"10"	20	6	2	1	10	8		18	3	6	2	7	7		15	2	6	1	8	6		16	5	7	1	10	9		16	6	7	2	10	7		8	3	5	2	4		3	18	6	2	3	9	7		18	6	2	3	10	7		16	6	3	1	9	9		14	2	4	1	9	7		3	1	4	1	9		1	12	4	4	4	1	10	6		14	6	1	3	10	8		10	3	7	2	10	7		14	3	7	4	9	7		5	3	6	3	7		3	2	1	2	10	7		12	2	3	1	7	5		10	30	8	2	-99	-99	-99	2	-99	-99	-99	2	-99	-99	-99	2	-99	-99	-99	2				-99	-99	-99	2	-99	-99	-99	2																																															134	132	650	152	50	54	51	74	61	43	171	66	153	56	34	34	187	50	44	60	48	94	255	15	15	11	12	13													2130		2014-06-19 23:51:00	F	28	28	0	0	0	11	11
261			"empinf"	"interview"	2014-06-23 14:16:21	2	2	1	6	1	4	1	2	T	T	T	F	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	"10"	10	4	1	4	4	10																																																																																																																																																																																																						7	39	118	37																																					201		2014-06-23 14:19:42	F	4	4	0	0	0	92	92
262			"empinf"	"interview"	2014-06-23 14:26:47	2	2	2	11	1	3	1	2																																																																																																																																																																																																																																																																																		115	72																																							187		2014-06-23 14:29:54	F	2	2	0	0	0	0	0
273			"empinf"	"interview"	2014-06-23 14:42:05	2	2	1	1	1	3	1	2	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F										2																2									"21"	"23"											"0"																																																																																											0	2	6	1	1	8	5																																																																																	2	0	0	2																				21	1	1	1	F	T	2	1	7	83	113	64										30																		55									352		2014-06-23 14:47:57	T	32	32	48	38	116	49	165
274			"empinf"	"interview"	2014-06-23 14:42:31	2	2	1	2	1	3	X-9	1	T	T	T	F	F	F	T	T	F	F	F	F	T	T	F	F	F	F	1	1	1			1	2										2	2	2			2	2			1	2								"18"	"16"	"20"				"20"	"25"						"16"					18	4	6	2	1	10		18	4	5	3	3	10		20	5	5	2	8	10																							17	4	3	2	7	8		25	5	5	3	9	10																															16	5	5	2	2	7		18	4	7	4	10	9																													15	15	2	2	17	20	4	1	18	25	5	2												18	30	5	2	25	40	6	1																20	20	4	2	20	25	4	1																24	1	1	1	T	F	1	2	158	60	275	96	62	37	33			29	38			25	59								27	21	18			32	21			16	21								1028		2014-06-23 14:59:40	T	33	33	21	14	44	14	58
276			"empinf"	"interview"	2014-06-23 14:51:52	2	1	1	3	1	6	1	1	T	T	F	F	F	F	T	T	F	F	F	F	T	T	F	F	F	F	1	3				3	3			2	1						2	1				1	1			2	2								"6"	"7-8"					"10"	"12"		"10"			"5"	"4"					6	2	6	1	8	10		7	4	6	3	1	8	8																													10	5	5	2	9	7		12	5	5	3	9	7	8																														4	4	5	2	2	9		7	4	6	1	9	10																													3	3	3	2	5	2	4	2																10	20	5	2	10	6	4	2																5	6	0	2	5	9	0	2																22	1	1	1	T	F	2	2	7	87	240	105	79	54				46	36			74	129								23	33				31	24			27	59								964		2014-06-23 15:09:26	T	33	33	22	14	43	15	58
277			"empinf"	"interview"	2014-06-23 14:53:23	2	2	1	4	1	5	1	1	T	T	T	F	F	F	T	T	F	T	F	F	T	T	T	F	T	F	1	2	3			2	2		1	1	1	2			1		2	2	1			2	2		2	2	2	2			2				"4"	"4"	"3"				"4"	"4"		"5"			"4"	"4"	"3"		"10"		40	2	4	4	6	9		40	3	3	4	4	6		35	4	5	2	6	4																							40	2	1	2	8	8		35	4	1	2	7	6									42	3	3	2	7	9																	30	1	4	4	8	9		35	3	2	1	7	6		30	4	1	1	4	5								42	1	3	1	1	9									3	6	8	2	3	6	7	2	4	7	9	1												2	3	7	2	2	3	6	2					4	7	9	2								2	6	7	2	5	7	8	2	4	8	7	1				4	6	1	2					23	1	1	1	T	F	1	2	31	84	420	79	40	52	38			23	53		40	31	29	43					60		36	25	19			23	22		23	35	28	27					20		1281		2014-06-23 15:14:45	T	39	39	11	6	19	8	27
278			"empinf"	"interview"	2014-06-23 15:10:55	2	2	1	8	1	3	1	1																																																																																																																																																																																																																																																																																		1520	55																																							85		2014-06-23 15:37:10	F	2	2	0	0	0	8	8
280			"empinf"	"interview"	2014-06-23 15:57:22	2	1	1	10	1	5	1	1																																																																																																																																																																																																																																																																																		58	62																																							120		2014-06-23 15:59:22	F	2	2	0	0	0	4	4
282			"empinf"	"interview"	2014-06-23 16:18:16	2	2	1	1	1	6	1	1	T	F	F	F	F	F	T	T	T	F	F	F	T	T	T	F	T	F	1					1	1	1		1	1	1			1		2					2	2	2		2	2	2			2																						2	3	6	2	10	5																																					0	2	4	6	6	6		3	4	5	6	7	5	6	5	4	5	3	9	5																																																																																																																																														7	196	198	165	73					82	46	18																													661		2014-06-23 16:31:22	F	4	12	38	29	89	29	118
285			"empinf"	"interview"	2014-06-23 17:05:43	2	2	1	1	1	6	1	1	T	F	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	3					3				2							1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	"6"	"6"					"6"	"6"		"4"			"2"	"2"					3	5	7	1	6	3	7																																				3	6	7	4	9	5	9																																					1	1	1	1	6	2	5																																			10	0	4	1																				6	4	6	1																				4	2	4	1																				19	1	1	1	T	F	2	1	90	76	140	73	32					25				59									30					14				38									577		2014-06-23 17:15:21	T	32	32	20	13	41	19	60
286			"empinf"	"interview"	2014-06-23 19:57:49	2	2	1	5	1	1	1	2	T	F	F	F	F	F	F	F	F	F	F	F	T	T	T	F	F	F	2	3	3			3	3	3	3	2	1	2					3	1	1			1	1	1		2	2	2							"20"	"20"	"20"				"20"	"20"	"20"	"20"			"20"	"10"	"10"				6	4	4	1	8	6	7																																																																															4	3	5	5	9	8		4	3	7	1	9	6		4	5	4	2	10	7																						5	80	4	2																																											2	50	2	2	10	30	10	2	2	50	2	2												26	2	1	1	F	T	6	1	139	170	353	132	57									63	40	110							27									38	16	57							1047		2014-06-23 20:17:51	T	34	34	18	11	33	5	38
287			"empinf"	"interview"	2014-06-23 21:40:50	2	1	1	1	1	2	1	1	T	F	F	F	F	F	T	F	F	F	F	F	T	F	F	F	T	F	1					3				2					1		2					1				2					2				"15"						"12"						"8"				"16"		15	5	3	1	2	10																																					6	6	1	1	4	3																																						9	4	3	1	4	8																						112	2	6	3	10	9									12	20	0	1																				7	0	4	1																				6	18	2	1												102	0	10	2					18	2	1	1	T	F	4	2	57	64	165	147	77					185				85							105		19					103				53							98		862		2014-06-23 22:00:08	T	39	39	31	22	66	9	75
288			"empinf"	"interview"	2014-06-23 23:46:33	2	1	2	10	1	6	1	2	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	3	2	2	2	2	3	3	3	2	2	2	4	2	2	2	2	2	2	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	10	4	7	1	9	8	5	12	4	2	3	9	9		8	5	4	5	10	5		12	6	6	3	10	10		12	5	5	4	10	7		30	4	5	5	10		1	9	5	5	4	9	8	6	8	3	2	5	9	9		12	4	5	5	9	10	7	12	6	7	2	10	10		2	2	4	5	10		3	8	3	6	5	10	10	9		7	3	1	2	10	8		5	2	1	2	8	8		8	6	2	1	10	10	8	5	3	1	4	5		6	1	2	7	10	10		7	3	5	5	9	10		6	8	4	2	6	8	4	2	6	4	4	2	10	16	4	2	12	2	2	2	15	25	2	8	24	4	2	7	16	4	2	8	24	5	2	10	8	5	2	56	2	4	53	4	4	2	4	4	2	2	4	4	2	2	10	24	2	2	1	3	2	3	2	4	2	6	4	4	2	34	1	1	1	T	F	1	4	84	142	292	127	56	36	359	47	38	37	41	164	32	35	31	26	41	32	50	104	25	35	72	51	29	26	17	19	30	23	15	16	47	30	70	18	30	21	15	19	1934		2014-06-24 00:26:16	T	40	40	0	0	0	13	13
292			"empinf"	"interview"	2014-06-25 12:11:37	2	2	1	2	1	5	1	1																																																																																																																																																																																																																																																																																		3	98																																							101		2014-06-25 12:13:18	F	2	2	0	0	0	225	225
295			"empinf"	"interview"	2014-06-26 10:11:10	2	2	1	4	1	6	X-9	1	T	T	T	T	T	T	T	F	T	T	T	T	T	T	T	T	T	T	1	1	1	1	1	2	3	2	1	1	1	1	1	1	1	1	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	"2"	"2"	"2"	"2"	"2"	"0"	"5"	"1"	"3"	"3"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	4	2	6	5	1	10																																																																																																																																																																																																						15	75	174	55																																					319		2014-06-26 10:16:29	F	4	4	1	1	4	31	36
298			"empinf"	"interview"	2014-06-26 10:15:47	2	1	1	5	1	5	1	2	T	T	T	F	F	F	T	T	T	T	F	F	T	T	T	F	T	F	2	1	1			2	1	2	1	2	1	3			1		2	2	2			2	2	2	2	2	2	1			2				"15"	"15"	"12"	"10"			"15"	"18"	"18"	"15"		"9"	"9"	"9"	"9"		"7"		270	6	7	2	8	10		230	6	7	2	9	10		230	5	7	2	10	10																							270	6	7	1	10	10		180	6	7	3	10	10		280	6	7	2	8	10		180	6	7	1	10	10																	100	6	4	3	9	10		120	5	6	1	9	10		140	5	7	1	9	10								105	1	5	3	10	10									15	2	5	2	15	2	5	2	10	2	5	2												15	3	4	2	15	1	5	2	12	1	5	2	10	3	2	2								5	3	3	2	10	1	3	2	10	1	2	2				20	0	10	2					29	2	1	1	T	F	4	2	123	301	340	244	83	64	44			85	78	34	478	222	178	53					116		48	99	41			124	111	38	71	34	36	39					65		1866		2014-06-26 11:08:16	T	39	39	8	4	14	0	14
299			"empinf"	"interview"	2014-06-26 10:16:36	2	2	1	2	1	6	1	1	T	F	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	2					1				1							2					2				2									"5"						"5"						"5"						8	2	5	3	8	5																																					7	4	2	2	9	8																																						6	3	4	3	8	5																																				6	12	3	2																				6	20	3	2																				5	10	2	2																				19	1	1	1	T	F	4	1	118	76	216	231	59					257				127									67					37				61									1032		2014-06-26 10:37:25	T	32	32	36	26	79	1	81
305			"empinf"	"interview"	2014-06-26 13:59:05	2	2	1	4	1	6	1	1	T	T	T	F	F	F	T	T	T	T	T	F	T	T	T	F	T	T	1	1	1			2	1	2	1	1	1	2			1	1	2	2	2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	1																				2	6	5	10	10																																																																																																																																																																																																						45	61	297	73																																					476		2014-06-26 14:07:01	F	4	4	27	19	59	8	67
307			"empinf"	"interview"	2014-06-26 16:30:43	2	2	1	2	1	6	1	1	T	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	2					3				1							2					1				2									"5"	"10"					"15"	"12"		"10"			"2"	"8"					100	5	4	5	9	9	7																																																																															90	3	4	3	7	7	5																																			5	150	3	2																																											5	100	8	2																				21	1	1	1	T	F	2	1	21	79	100	60	30									42									66									32									430		2014-06-26 16:37:55	T	32	32	36	26	80	23	103
311			"empinf"	"interview"	2014-06-26 18:48:47	2	2	2	13	1	6	1	1	T	T	T	T	T	T	T	T	T	T	F	T	T	T	T	T	T	T	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	4	2	2	2	4	2	2	4	2	3	2	2	2	3	2	2	2	"14"	"1"	"14"	"15"	"10"	"8"	"1"	"14"	"14"	"4"	"4"	"12"	"8"	"8"	"8"	"6"	"4"	"6"																																																																																																																																																																																																												43	64	449																																						556		2014-06-26 18:58:03	F	3	3	0	0	0	2	2
312			"empinf"	"interview"	2014-06-26 19:09:33	2	2	1	2	1	6	1	2	T	T	F	F	F	F	T	T	F	F	F	F	T	T	F	F	F	F	3					3				2							1					1				2									"10"	"14"					"8"	"8"		"10"			"4"	"4"					15	4	3	1	8	6	5	20	6	6	1	9	8	5																													8	5	4	5	10	3	5	10	4	4	5	10	6	5																														4	3	1	1	8	3		8	4	6	1	1	9	5																												14	20	6	2	20	30	6	2																14	12	10	2	10	10	10	2																4	3	2	2	6	14	2	2																18	1	1	1	T	T	2	1	14	56	174	147	28	71				26	38			23	125								72	33				16	29			26	27								819		2014-06-26 19:24:39	T	33	33	26	18	54	15	69
313			"empinf"	"interview"	2014-06-26 20:57:17	2	2	1	2	1	6	1	1	T	F	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	1					1				1							2					2				2									"5"	"8"					"9"	"9"					"6"	"5"					7	4	7	5	10	9																																					10	6	5	2	9	8																																						8	3	4	3	9	10																																				3	10	4	1																				7	20	6	1																				5	7	2	1																				18	1	1	1	T	F	2	1	25	48	90	50	18					18				35									16					13				31									344		2014-06-26 21:03:01	T	32	32	34	24	73	49	122
314			"empinf"	"interview"	2014-06-26 22:09:49	2	2	1	1	1	4	1	1	T	F	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	1					2				2							2					2				2																											12	4	4	1	10	10																																					14	6	3	2	8	10																																						10	4	4	1	8	10																																				6	30	6	2																				10	40	7	2																				7	26	3	2																				21	1	1	1	T	F	2	2	7	535	468	140	102					73				129									77					54				190									1154		2014-06-26 22:39:25	T	32	32	39	28	86	16	103
315			"empinf"	"interview"	2014-06-26 22:27:53	2	2	2	2	1	6	1	1																																																																																																																																																																																																																																																																																		42	66																																							108		2014-06-26 22:29:41	F	2	2	0	0	0	2	2
317			"empinf"	"interview"	2014-06-27 00:58:39	2	2	2	10	2	1	1	2																																																																																																																																																																																																																																																																																		17	91																																							108		2014-06-27 01:00:27	F	2	2	0	0	0	19	19
320			"empinf"	"interview"	2014-06-27 13:06:23	2	2	1	1	1	6	1	1																																																																																																																																																																																																																																																																																		89	65																																							154		2014-06-27 13:08:57	F	2	2	0	0	0	3	3
321			"empinf"	"interview"	2014-06-27 13:06:25	2	2	1	8	1	6	1	1	T	T	T	T	F	F	T	F	F	T	F	T	F	T	T	F	T	T	1	1	1	1		3			3		1	3		3	1	1	2	2	2	2		1			1		2	1		1	2	2			"8"	"8"	"10"	"8"			"5"			"2"		"5"		"6"	"6"		"30"	"8"	8	5	2	5	9	9		10	5	6	6	8	9		10	5	6	5	9	9		8	5	7	5	10	10																9	4	6	5	9	8	3															8	6	2	2	9	1	2								8	4	5	5	10	8	3	5								7	3	7	6	9	10		6	6	6	4	10	9								30	3	6	4	9	10		6	3	4	4	9	10		4	10	4	2	4	10	4	2	4	10	4	2	5	10	4	2								4	15	4	2									3	10	4	2			4	5	10	4	2					4	10	2	2	4	10	2	2				40	10	20	2	4	10	4	2	28	1	1	1	T	F	4	2	840	70	279	83	48	69	40	50		49			39		39	64		49			31	73	17	20	18	36		20			14		13	23		21			9	35	1239		2014-06-27 13:40:36	T	40	40	9	6	18	16	33
